Coeffecient,Weight
"3124.0",0.009158
"3125.0",-0.203918
"3126.0",0.267092
"3127.0",0.130400
"3128.0",0.083860
"3130.0",-0.102271
"3131.0",-0.120564
"3132.0",0.030473
"3133.0",-0.145815
"3134.0",-0.008019
"3135.0",0.209325
"3136.0",0.123351
"3137.0",0.397938
"3138.0",0.513670
"3141.0",0.024349
"3142.0",0.314675
"3143.0",0.135631
"3144.0",0.158692
"3145.0",-0.039018
"3146.0",-0.009922
"3147.0",-0.131353
"3148.0",-0.358153
"3149.0",-0.251254
"3150.0",-0.062956
"3151.0",-0.261624
"3152.0",-0.394316
"3153.0",0.059349
"3154.0",-0.050431
"3155.0",0.046843
"3156.0",-0.062105
"3158.0",0.000000
"3161.0",-0.174468
"3162.0",-0.325867
"3163.0",-0.245908
"3165.0",-0.342646
"3166.0",-0.369516
"3167.0",-0.476635
"3168.0",-0.316866
"3169.0",-0.480214
"3170.0",-0.277463
"3171.0",-0.443593
"3172.0",-0.377153
"3173.0",-0.465574
"3174.0",-0.513449
"3175.0",-0.479784
"3177.0",-0.106529
"3178.0",-0.210702
"3179.0",-0.037438
"3180.0",0.152062
"3181.0",-0.043700
"3182.0",-0.188121
"3183.0",-0.320412
"3184.0",-0.195481
"3185.0",-0.229244
"3186.0",-0.021654
"3187.0",-0.266046
"3188.0",-0.262702
"3189.0",-0.406678
"3190.0",-0.400258
"3191.0",-0.358428
"3192.0",-0.362459
"3193.0",-0.149663
"3194.0",-0.260323
"3195.0",-0.180473
"3196.0",-0.173411
"3197.0",-0.004293
"3198.0",0.322492
"3199.0",0.631635
"3200.0",0.433683
"3201.0",0.085083
"3204.0",-0.287867
"3205.0",0.002376
"3206.0",0.234959
"3207.0",-0.028835
"3335.0",-0.180225
"3337.0",0.339646
"3338.0",0.040231
"3427.0",0.278094
"3429.0",0.776366
"3431.0",-0.000000
"3437.0",2.953881
"3438.0",-0.000000
"3750.0",0.299956
"3752.0",0.097522
"3754.0",0.608556
"3756.0",3.175183
"3757.0",0.000000
"3765.0",0.526814
"3775.0",0.000000
"3777.0",3.584707
"3782.0",0.452230
"3795.0",0.000000
"3796.0",0.891359
"3802.0",-0.065105
"3803.0",0.000000
"3805.0",0.464708
"3806.0",0.586691
"3807.0",-0.181091
"3808.0",0.139282
"3810.0",0.720621
"3910.0",1.270121
"3976.0",0.117362
"3977.0",0.104121
"Northern",-0.136862
"Western",-0.152955
"Metropolitan",0.082579
"Rooms_2",-0.053991
"Distance_2",-0.002275
